date,location,month,plot,trtcode,damage,quadrat,kdr_insects.tested,kdr_percent,kdr_prop_ddpcr,R,kdr_prop,alleles_screened,year,years,days,days_s,resid
2017-10-18,Tintinara,October,I1,1,5,1,11,86.85639,0.86856390000000006,0.34592978295612725,0.34592978295612725,22,2017,0,114,-0.6130139377256042,0.4849877119672271
2017-07-31,Arthur River,August,10,NA,NA,3,11,96.05,0.9605,0.5365959289735817,0.5365959289735817,22,2017,0,-1,-0.9641669335568628,0.40860572152926505
2019-07-05,Arthur River,July,3,NA,NA,1,10,77,0.77,0.4401836860294466,0.4401836860294466,20,2019,2,703,1.1855001017927551,0.3032174467419419
2017-07-31,Arthur River,August,9,NA,NA,4,4,99.78,0.9978,0.7731127485054915,0.7731127485054915,8,2017,0,-1,-0.9641669335568628,0.23711113344110624
2017-06-27,Tintinara,June,I1,1,3,1,50,58.84752,0.5884752,0.31073368314461935,0.31073368314461935,100,2017,0,1,-0.9580599249337104,0.23596976277893433
2017-07-31,Arthur River,August,9,NA,NA,2,15,98.43,0.9843000000000001,0.7974623742997908,0.7974623742997908,30,2017,0,-1,-0.9641669335568628,0.20211553706921437
2018-10-11,Arthur River,October,7,NA,NA,1,50,84.02,0.8402,0.6647491638795987,0.6647491638795987,100,2018,1,436,0.37021445060191993,0.17517337877527808
2019-07-05,Arthur River,July,1,NA,NA,1,20,74,0.74,0.5726451164407369,0.5726451164407369,40,2019,2,703,1.1855001017927551,0.15628187380877764
2018-09-22,Tintinara,September,E3,1,1,1,50,32.45,0.3245,0.10523948729480549,0.10523948729480549,100,2018,1,453,0.4221240238987147,0.15340270137087336
2018-09-22,Tintinara,September,M3,1,1,1,50,37.59,0.3759,0.1718286350148368,0.1718286350148368,100,2018,1,453,0.4221240238987147,0.14601849440892536
2017-06-27,Tintinara,June,D2,1,3,1,50,31.63786,0.3163786,0.1128994525803584,0.1128994525803584,100,2017,0,1,-0.9580599249337104,0.1385191636940185
2020-06-26,Arthur River,June,12,NA,NA,1,12,76,0.76,0.6171171171171171,0.6171171171171171,24,2020,3,1060,2.275601141025445,0.13702245419938971
2018-10-11,Arthur River,October,5,NA,NA,1,50,80.09,0.8009000000000001,0.6667411628859835,0.6667411628859835,100,2018,1,436,0.37021445060191993,0.13411486277276607
2019-09-15,Arthur River,September,10,NA,NA,1,50,82,0.82,0.6893819334389857,0.6893819334389857,100,2019,2,775,1.4053524122262389,0.1332278260327644
2017-07-31,Arthur River,August,11,NA,NA,2,5,83.77,0.8377,0.7384464110127827,0.7384464110127827,10,2017,0,-1,-0.9641669335568628,0.10761421558824576
2020-06-26,Arthur River,June,7,NA,NA,1,50,78,0.78,0.6889003791795932,0.6889003791795932,100,2020,3,1060,2.275601141025445,0.09365293712393731
2017-08-09,Tintinara,August,D2,1,2,1,50,37,0.37,0.2323482744942483,0.2323482744942483,100,2017,0,44,-0.8267592395359354,0.08669238618814065
2017-10-18,Tintinara,October,D2,1,2,1,42,36.71368,0.3671368,0.2304231922692436,0.2304231922692436,84,2017,0,114,-0.6130139377256042,0.08552862875210371
2017-06-27,Tintinara,June,D1,1,1,1,50,38.85796,0.38857959999999997,0.2571428571428571,0.2571428571428571,100,2017,0,1,-0.9580599249337104,0.08338358653360517
2018-10-11,Arthur River,October,9,NA,NA,1,2,97.91,0.9791,0.9270337119824111,0.9270337119824111,4,2018,1,436,0.37021445060191993,0.08253130793482723
2018-07-25,Arthur River,July,3,NA,0,1,50,92.25,0.9225,0.8665761737464069,0.8665761737464069,100,2018,1,358,0.13204111429897933,0.07930259382389501
2017-06-27,Tintinara,June,L2,1,2,1,23,73.89349,0.7389349,0.6617074034714843,0.6617074034714843,46,2017,0,1,-0.9580599249337104,0.0765935132238558
2017-07-31,Arthur River,August,5,NA,NA,4,10,76.9,0.769,0.7010213556174559,0.7010213556174559,20,2017,0,-1,-0.9641669335568628,0.07195266520425517
2017-09-28,Arthur River,September,7,NA,NA,2,50,87.75,0.8775,0.8255892559376268,0.8255892559376268,100,2017,0,58,-0.7840101791738692,0.07048541852881152
2019-09-15,Arthur River,September,6,NA,NA,1,30,67,0.67,0.5910295160267174,0.5910295160267174,60,2019,2,775,1.4053524122262389,0.07005231708465207
2019-07-05,Arthur River,July,4,NA,NA,1,10,69,0.69,0.6238502722738297,0.6238502722738297,20,2019,2,703,1.1855001017927551,0.06107849486380507
2017-06-27,Tintinara,June,M3,1,3,1,12,58.35671,0.5835671,0.5057319587628866,0.5057319587628866,24,2017,0,1,-0.9580599249337104,0.058919213391209806
2018-07-25,Arthur River,July,7,NA,0,1,50,82.63,0.8262999999999999,0.7812784793646661,0.7812784793646661,100,2018,1,358,0.13204111429897933,0.05840251117671742
2017-07-31,Arthur River,August,1,NA,NA,2,18,92.2,0.922,0.8907982261640798,0.8907982261640798,36,2017,0,-1,-0.9641669335568628,0.05741961790189956
2017-06-27,Tintinara,June,I3,1,2,1,24,64.87343,0.6487343,0.5851509280669959,0.5851509280669959,48,2017,0,1,-0.9580599249337104,0.05397617338774811
2017-06-27,Tintinara,June,A3,1,4,1,50,33.15861,0.33158610000000005,0.2277070784837643,0.2277070784837643,100,2017,0,1,-0.9580599249337104,0.052375685749520735
2018-09-22,Tintinara,September,N1,1,1,1,35,57.21,0.5721,0.5022832353444832,0.5022832353444832,70,2018,1,453,0.4221240238987147,0.05049661055213324
2018-06-02,Tintinara,June,D2,1,4,1,40,30.87,0.30870000000000003,0.20597947344935297,0.20597947344935297,80,2018,1,341,0.08013154100218457,0.04867048946825328
2017-10-18,Tintinara,October,I1,1,5,1,11,86.85639,0.86856390000000006,0.8415784008307373,0.8415784008307373,22,2017,0,114,-0.6130139377256042,0.04743426773265253
2017-06-27,Tintinara,June,E3,1,3,1,40,32.88254,0.3288254,0.23187124159886804,0.23187124159886804,80,2017,0,1,-0.9580599249337104,0.04593890586619376
2019-06-06,Tintinara,June,N1,1,1.5,1,50,45,0.45,0.3717575347104639,0.3717575347104639,100,2019,2,710,1.2068746319737882,0.04362334137294703
2017-07-31,Arthur River,August,8,NA,NA,2,16,94.39,0.9439,0.9318100678329169,0.9318100678329169,32,2017,0,-1,-0.9641669335568628,0.043114790672577
2017-09-28,Arthur River,September,8,NA,NA,2,11,81,0.81,0.7811691670977755,0.7811691670977755,22,2017,0,58,-0.7840101791738692,0.04219901090888704
2018-10-11,Arthur River,October,3,NA,NA,1,36,80.26,0.8026000000000001,0.7732194151874494,0.7732194151874494,72,2018,1,436,0.37021445060191993,0.04181696920379662
2018-06-02,Tintinara,June,A3,1,4,1,40,17.16,0.1716,0.05904264428840555,0.05904264428840555,80,2018,1,341,0.08013154100218457,0.04128479384778184
2017-07-31,Arthur River,August,6,NA,NA,1,7,98.18,0.9818000000000001,0.977036561898653,0.977036561898653,14,2017,0,-1,-0.9641669335568628,0.04108931214713597
2017-07-31,Arthur River,August,1,NA,NA,4,6,94.62,0.9462,0.9371927042030135,0.9371927042030135,12,2017,0,-1,-0.9641669335568628,0.040663055274025306
2017-09-28,Arthur River,September,10,NA,NA,1,19,97.27,0.9727,0.9672394554786878,0.9672394554786878,38,2017,0,58,-0.7840101791738692,0.040638095787389784
2017-09-28,Arthur River,September,8,NA,NA,1,38,97.51,0.9751000000000001,0.9708265802269044,0.9708265802269044,76,2017,0,58,-0.7840101791738692,0.03987141937212684
2017-07-31,Arthur River,August,1,NA,NA,4,6,94.62,0.9462,0.9381107491856677,0.9381107491856677,12,2017,0,-1,-0.9641669335568628,0.039852614712634994
2017-09-28,Arthur River,September,3,NA,NA,2,32,86.76,0.8676,0.849738436123348,0.849738436123348,64,2017,0,58,-0.7840101791738692,0.03926677345518246
2017-09-28,Arthur River,September,6,NA,NA,2,13,98.89,0.9889,0.987219805955169,0.987219805955169,26,2017,0,58,-0.7840101791738692,0.039199650217851316
2019-07-05,Arthur River,July,9,NA,NA,1,10,100,1,1,1,20,2019,2,703,1.1855001017927551,0.03901742785177044
2017-07-31,Arthur River,August,9,NA,NA,1,3,99.99,0.9998999999999999,1,1,6,2017,0,-1,-0.9641669335568628,0.03891742785177034
2017-07-31,Arthur River,August,11,NA,NA,3,5,99.96,0.9995999999999999,1,1,10,2017,0,-1,-0.9641669335568628,0.03861742785177037
2017-07-31,Arthur River,August,3,NA,NA,1,9,99.92,0.9992,1,1,18,2017,0,-1,-0.9641669335568628,0.038217427851770416
2017-09-28,Arthur River,September,4,NA,NA,2,24,97.12,0.9712000000000001,0.9682828000558893,0.9682828000558893,48,2017,0,58,-0.7840101791738692,0.03821704204727133
2017-09-28,Arthur River,September,1,NA,NA,2,19,95.95,0.9595,0.9556426557047942,0.9556426557047942,38,2017,0,58,-0.7840101791738692,0.037675630000487424
2017-07-31,Arthur River,August,5,NA,NA,1,13,98.7,0.987,0.9868415485508779,0.9868415485508779,26,2017,0,-1,-0.9641669335568628,0.03763357191981132
2017-09-28,Arthur River,September,4,NA,NA,1,8,97.44,0.9743999999999999,0.9728119396077978,0.9728119396077978,16,2017,0,58,-0.7840101791738692,0.03741876476193449
2017-06-27,Tintinara,June,G3,1,2,1,27,35.9781,0.35978099999999996,0.27667260729251963,0.27667260729251963,54,2017,0,1,-0.9580599249337104,0.03734432624553928
2020-06-26,Arthur River,June,12,NA,NA,1,12,76,0.76,0.7300421596627227,0.7300421596627227,24,2020,3,1060,2.275601141025445,0.037333401260951804
2017-07-31,Arthur River,August,6,NA,NA,3,17,99.82,0.9982,1,1,34,2017,0,-1,-0.9641669335568628,0.037217427851770415
2017-07-31,Arthur River,August,7,NA,NA,2,12,99.81,0.9981,1,1,24,2017,0,-1,-0.9641669335568628,0.037117427851770426
2018-06-02,Tintinara,June,I1,1,3,1,44,51.09,0.5109,0.44813336463958675,0.44813336463958675,88,2018,1,341,0.08013154100218457,0.03709955315567401
2019-06-06,Tintinara,June,D1,1,3,1,50,37,0.37,0.2888972102602509,0.2888972102602509,100,2019,2,710,1.2068746319737882,0.03677157390318901
2017-09-28,Arthur River,September,3,NA,NA,1,11,99.76,0.9976,1,1,22,2017,0,58,-0.7840101791738692,0.03661742785177048
2017-07-31,Arthur River,August,1,NA,NA,3,20,97.24,0.9723999999999999,0.9716234476545911,0.9716234476545911,40,2017,0,-1,-0.9641669335568628,0.03646795309580012
2017-09-28,Arthur River,September,5,NA,NA,1,36,97.15,0.9715,0.9711316397228638,0.9711316397228638,72,2017,0,58,-0.7840101791738692,0.036002116022253956
2020-06-26,Arthur River,June,5,NA,NA,1,27,92,0.92,0.9135931558935361,0.9135931558935361,54,2020,3,1060,2.275601141025445,0.03529649104445325
2018-09-22,Tintinara,September,I1,1,1,1,50,37.37,0.3737,0.2977929168027624,0.2977929168027624,100,2018,1,453,0.4221240238987147,0.032618536698592916
2017-07-31,Arthur River,August,7,NA,NA,4,17,97.99,0.9799,0.9846153846153847,0.9846153846153847,34,2017,0,-1,-0.9641669335568628,0.032498806286009596
2017-09-28,Arthur River,September,6,NA,NA,1,31,91.96,0.9196,0.9166178861788618,0.9166178861788618,62,2017,0,58,-0.7840101791738692,0.03222629061112988
2018-07-25,Arthur River,July,11,NA,0,1,50,91.52,0.9152,0.9142174605472709,0.9142174605472709,100,2018,1,358,0.13204111429897933,0.029945361390012297
2017-07-31,Arthur River,August,1,NA,NA,1,22,86.54,0.8654000000000001,0.8579624373452504,0.8579624373452504,44,2017,0,-1,-0.9641669335568628,0.02980671072069291
2017-07-31,Arthur River,August,3,NA,NA,3,4,99.05,0.9904999999999999,1,1,8,2017,0,-1,-0.9641669335568628,0.02951742785177038
2020-06-26,Arthur River,June,9,NA,NA,1,44,77,0.77,0.7508609495850506,0.7508609495850506,88,2020,3,1060,2.275601141025445,0.02895479006987794
2017-07-31,Arthur River,August,6,NA,NA,4,21,94.1,0.941,0.9448342275416151,0.9448342275416151,42,2017,0,-1,-0.9641669335568628,0.02871719795610996
2018-07-25,Arthur River,July,12,NA,1,1,50,94.38,0.9438,0.9484508185631173,0.9484508185631173,100,2018,1,358,0.13204111429897933,0.028324509021291945
2017-09-28,Arthur River,September,7,NA,NA,1,30,93.21,0.9320999999999999,0.937614149764491,0.937614149764491,60,2017,0,58,-0.7840101791738692,0.026191007516134554
2019-09-15,Arthur River,September,11,NA,NA,1,40,71,0.71,0.6863933641729143,0.6863933641729143,80,2019,2,775,1.4053524122262389,0.02586610389442876
2017-09-28,Arthur River,September,10,NA,NA,2,29,92.55,0.9255,0.930786384482686,0.930786384482686,58,2017,0,58,-0.7840101791738692,0.02561848768603754
2017-10-18,Tintinara,October,D1,1,2,1,26,42.1595,0.421595,0.360610095630069,0.360610095630069,52,2017,0,114,-0.6130139377256042,0.025059184639972587
2017-09-28,Arthur River,September,1,NA,NA,1,48,92.4,0.924,0.9308876514903374,0.9308876514903374,96,2017,0,58,-0.7840101791738692,0.02402909022503954
2020-06-26,Arthur River,June,1,NA,NA,1,27,91,0.91,0.9151589844712842,0.9151589844712842,54,2020,3,1060,2.275601141025445,0.0239141938634129
2017-06-27,Tintinara,June,C2,1,4,1,50,32.04939,0.3204939,0.24753089364950617,0.24753089364950617,100,2017,0,1,-0.9580599249337104,0.02378322792405547
2017-09-28,Arthur River,September,12,NA,NA,1,30,64.81,0.6481,0.6193431600724075,0.6193431600724075,60,2017,0,58,-0.7840101791738692,0.02315732663325609
2017-06-27,Tintinara,June,N1,1,3,1,15,43.34252,0.4334252,0.3772161609273781,0.3772161609273781,30,2017,0,1,-0.9580599249337104,0.022229722928053926
2017-07-31,Arthur River,August,11,NA,NA,4,13,93.22,0.9322,0.9424502329521389,0.9424502329521389,26,2017,0,-1,-0.9641669335568628,0.02202176358192558
2019-09-15,Arthur River,September,9,NA,NA,1,10,69,0.69,0.6684598292597357,0.6684598292597357,20,2019,2,775,1.4053524122262389,0.021697641975197517
2018-09-22,Tintinara,September,G3,1,1,1,50,33.54,0.3354,0.266900956051846,0.266900956051846,100,2018,1,453,0.4221240238987147,0.02158963831829374
2017-07-31,Arthur River,August,7,NA,NA,1,10,93.07,0.9307,0.9417860207247046,0.9417860207247046,20,2017,0,-1,-0.9641669335568628,0.021108123227318736
2019-07-05,Arthur River,July,7,NA,NA,1,10,78,0.78,0.7716800414185866,0.7716800414185866,20,2019,2,703,1.1855001017927551,0.0205759123547299
2017-09-28,Arthur River,September,9,NA,NA,1,37,90.14,0.9014,0.9097773626031449,0.9097773626031449,74,2017,0,58,-0.7840101791738692,0.020065033670189334
2020-06-26,Arthur River,June,3,NA,NA,1,15,88,0.88,0.8861952522554307,0.8861952522554307,30,2020,3,1060,2.275601141025445,0.01948307538935846
2017-09-28,Arthur River,September,2,NA,NA,2,40,83.48,0.8348,0.8353574385868066,0.8353574385868066,80,2017,0,58,-0.7840101791738692,0.019162168492548388
2020-06-26,Arthur River,June,4,NA,NA,1,24,81,0.81,0.8077286917037177,0.8077286917037177,48,2020,3,1060,2.275601141025445,0.018752538852945762
2020-06-26,Arthur River,June,11,NA,NA,1,33,76,0.76,0.7513821700069109,0.7513821700069109,66,2020,3,1060,2.275601141025445,0.018494662103076893
2017-09-28,Arthur River,September,11,NA,NA,2,12,94.31,0.9431,0.9591378841446832,0.9591378841446832,24,2017,0,58,-0.7840101791738692,0.01819007869033141
2018-10-11,Arthur River,October,10,NA,NA,1,39,78,0.78,0.77513266874969,0.77513266874969,78,2018,1,436,0.37021445060191993,0.017527968860282593
2019-09-15,Arthur River,September,4,NA,NA,1,50,84,0.84,0.8438758039887094,0.8438758039887094,100,2019,2,775,1.4053524122262389,0.016842244121864126
2020-06-26,Arthur River,June,6,NA,NA,1,48,74,0.74,0.7308246828143022,0.7308246828143022,96,2020,3,1060,2.275601141025445,0.016642597962366674
2017-07-31,Arthur River,August,4,NA,NA,1,4,97.73,0.9773000000000001,1,1,8,2017,0,-1,-0.9641669335568628,0.0163174278517705
2018-09-22,Tintinara,September,I3,1,2,1,50,42.92,0.4292,0.3800137588610056,0.3800137588610056,100,2018,1,453,0.4221240238987147,0.015534832572230319
2019-09-15,Arthur River,September,8,NA,NA,1,30,69,0.69,0.6763080434913198,0.6763080434913198,60,2019,2,775,1.4053524122262389,0.014769320086909357
2018-10-11,Arthur River,October,2,NA,NA,1,41,82.73,0.8273,0.8320417401979591,0.8320417401979591,82,2018,1,436,0.37021445060191993,0.014589232541076205
2017-09-28,Arthur River,September,9,NA,NA,2,33,91.77,0.9177,0.93447695930037,0.93447695930037,66,2017,0,58,-0.7840101791738692,0.01456048662551294
2019-06-06,Tintinara,June,I3,1,1.5,1,50,33,0.33,0.2695852534562212,0.2695852534562212,100,2019,2,710,1.2068746319737882,0.013819968491167525
2017-08-09,Tintinara,August,G3,1,4,1,50,36,0.36,0.30382420347818273,0.30382420347818273,100,2017,0,44,-0.8267592395359354,0.013594179557615514
2018-07-25,Arthur River,July,5,NA,0,1,50,97.45,0.9745,1,1,100,2018,1,358,0.13204111429897933,0.013517427851770474
2018-07-25,Arthur River,July,10,NA,0,1,50,81.14,0.8114,0.8166337235821803,0.8166337235821803,100,2018,1,358,0.13204111429897933,0.012291269338772032
2017-07-31,Arthur River,August,1,NA,NA,3,20,97.24,0.9723999999999999,1,1,40,2017,0,-1,-0.9641669335568628,0.011417427851770372
2019-09-07,Tintinara,September,N1,1,0.5,1,50,49,0.49,0.4539178664149162,0.4539178664149162,100,2019,2,803,1.4908505329503714,0.011093055157495915
2018-09-22,Tintinara,September,A3,1,1,1,16,17.66,0.1766,0.09918665766215462,0.09918665766215462,32,2018,1,453,0.4221240238987147,0.01084607641040894
2019-09-07,Tintinara,September,D2,1,0.5,1,50,37,0.37,0.31848993122557023,0.31848993122557023,100,2019,2,803,1.4908505329503714,0.01064742765181404
2020-06-26,Arthur River,June,10,NA,NA,1,15,83,0.83,0.8396756387084168,0.8396756387084168,30,2020,3,1060,2.275601141025445,0.010550106342134567
2017-07-31,Arthur River,August,2,NA,NA,4,1,77.28,0.7728,0.7752229654403567,0.7752229654403567,2,2017,0,-1,-0.9641669335568628,0.010248255881007827
2018-06-02,Tintinara,June,M3,1,2,1,44,43.31,0.43310000000000004,0.39061754887935146,0.39061754887935146,88,2018,1,341,0.08013154100218457,0.010073917042266718
2017-06-27,Tintinara,June,K1,1,3,1,50,37.97214,0.37972140000000004,0.3312077043206663,0.3312077043206663,100,2017,0,1,-0.9580599249337104,0.009141709850870552
2017-10-18,Tintinara,October,C2,1,1,1,43,40.46839,0.4046839,0.36148444403106544,0.36148444403106544,86,2017,0,114,-0.6130139377256042,0.007376218966347804
2017-10-18,Tintinara,October,D1,1,2,1,26,42.1595,0.421595,0.38110525108919974,0.38110525108919974,52,2017,0,114,-0.6130139377256042,0.006966274586636464
2019-09-15,Arthur River,September,5,NA,NA,1,30,81,0.81,0.821871921182266,0.821871921182266,60,2019,2,775,1.4053524122262389,0.006267042983966401
2017-09-28,Arthur River,September,12,NA,NA,2,18,73.3,0.733,0.73470715835141,0.73470715835141,36,2017,0,58,-0.7840101791738692,0.006215188942842823
2019-09-15,Arthur River,September,12,NA,NA,1,40,70,0.7,0.6984262419416003,0.6984262419416003,80,2019,2,775,1.4053524122262389,0.005243604563513321
2017-10-18,Tintinara,October,D2,1,2,1,42,36.71368,0.3671368,0.32193372398464337,0.32193372398464337,84,2017,0,114,-0.6130139377256042,0.004744083225659817
2018-09-22,Tintinara,September,D1,1,1,1,42,39,0.39,0.3486002496370074,0.3486002496370074,84,2018,1,453,0.4221240238987147,0.004066351758938157
